ip,ip_num,port,proto,length,is_malicious
192.168.1.130,3232235906,22,6,1335,0
10.10.10.81,168430161,23,6,130,1
192.168.1.104,3232235880,80,6,1347,0
192.168.1.210,3232235986,53,17,150,0
192.168.1.34,3232235810,22,6,1297,0
192.168.1.35,3232235811,53,17,1023,0
192.168.1.1,3232235777,80,6,1227,0
192.168.1.66,3232235842,443,6,829,0
192.168.1.183,3232235959,443,6,683,0
192.168.1.149,3232235925,443,6,602,0
192.168.1.110,3232235886,80,6,682,0
192.168.1.216,3232235992,443,6,131,0
192.168.1.39,3232235815,53,17,388,0
10.10.10.149,168430229,3389,6,608,1
192.168.1.73,3232235849,22,6,454,0
192.168.1.211,3232235987,22,6,372,0
192.168.1.195,3232235971,443,6,135,0
192.168.1.219,3232235995,80,6,262,0
192.168.1.123,3232235899,443,6,1467,0
192.168.1.141,3232235917,80,6,538,0
192.168.1.129,3232235905,53,17,1034,0
10.10.10.76,168430156,5900,6,725,1
192.168.1.116,3232235892,80,6,1341,0
192.168.1.36,3232235812,443,6,674,0
192.168.1.79,3232235855,53,17,1036,0
192.168.1.128,3232235904,53,17,1243,0
192.168.1.193,3232235969,53,17,774,0
192.168.1.235,3232236011,80,6,1229,0
192.168.1.105,3232235881,22,6,1332,0
192.168.1.182,3232235958,53,17,1064,0
10.10.10.172,168430252,3389,6,544,1
10.10.10.214,168430294,23,6,123,1
10.10.10.43,168430123,22,6,689,1
192.168.1.100,3232235876,80,6,669,0
192.168.1.249,3232236025,53,17,339,0
192.168.1.133,3232235909,53,17,726,0
192.168.1.135,3232235911,80,6,509,0
10.10.10.91,168430171,3389,6,165,1
192.168.1.5,3232235781,443,6,524,0
192.168.1.139,3232235915,53,17,962,0
192.168.1.64,3232235840,443,6,580,0
192.168.1.188,3232235964,22,6,1485,0
192.168.1.253,3232236029,80,6,819,0
192.168.1.56,3232235832,80,6,1051,0
192.168.1.23,3232235799,53,17,808,0
192.168.1.222,3232235998,53,17,1484,0
192.168.1.5,3232235781,80,6,708,0
192.168.1.38,3232235814,80,6,423,0
10.10.10.209,168430289,23,6,543,1
192.168.1.151,3232235927,53,17,253,0
192.168.1.68,3232235844,22,6,995,0
192.168.1.244,3232236020,80,6,103,0
10.10.10.245,168430325,3389,6,825,1
192.168.1.102,3232235878,22,6,817,0
192.168.1.142,3232235918,443,6,764,0
192.168.1.115,3232235891,22,6,402,0
192.168.1.36,3232235812,53,17,140,0
10.10.10.208,168430288,3389,6,747,1
192.168.1.182,3232235958,443,6,900,0
10.10.10.115,168430195,3389,6,1370,1
10.10.10.223,168430303,23,6,444,1
192.168.1.186,3232235962,443,6,167,0
192.168.1.153,3232235929,443,6,1293,0
10.10.10.211,168430291,5900,6,560,1
10.10.10.151,168430231,23,6,1149,1
192.168.1.238,3232236014,22,6,423,0
192.168.1.109,3232235885,53,17,850,0
192.168.1.40,3232235816,53,17,1386,0
192.168.1.80,3232235856,443,6,903,0
10.10.10.192,168430272,3389,6,395,1
192.168.1.226,3232236002,53,17,1412,0
10.10.10.44,168430124,3389,6,807,1
192.168.1.158,3232235934,443,6,1382,0
192.168.1.247,3232236023,53,17,1299,0
192.168.1.221,3232235997,53,17,102,0
10.10.10.69,168430149,3389,6,803,1
192.168.1.87,3232235863,53,17,385,0
192.168.1.144,3232235920,53,17,1181,0
192.168.1.158,3232235934,53,17,126,0
192.168.1.26,3232235802,53,17,1277,0
10.10.10.231,168430311,3389,6,1488,1
192.168.1.12,3232235788,80,6,357,0
192.168.1.205,3232235981,443,6,604,0
192.168.1.236,3232236012,443,6,1046,0
192.168.1.71,3232235847,53,17,1108,0
192.168.1.10,3232235786,80,6,412,0
10.10.10.31,168430111,23,6,688,1
10.10.10.13,168430093,23,6,203,1
192.168.1.158,3232235934,22,6,151,0
192.168.1.130,3232235906,53,17,1059,0
192.168.1.135,3232235911,80,6,1147,0
10.10.10.83,168430163,23,6,1038,1
10.10.10.225,168430305,22,6,145,1
192.168.1.174,3232235950,80,6,1114,0
192.168.1.14,3232235790,443,6,265,0
192.168.1.83,3232235859,443,6,1017,0
10.10.10.84,168430164,5900,6,1401,1
192.168.1.12,3232235788,80,6,861,0
192.168.1.74,3232235850,80,6,425,0
192.168.1.194,3232235970,22,6,405,0
192.168.1.223,3232235999,443,6,1082,0
192.168.1.15,3232235791,443,6,551,0
10.10.10.98,168430178,22,6,604,1
192.168.1.58,3232235834,443,6,632,0
192.168.1.200,3232235976,80,6,308,0
192.168.1.120,3232235896,22,6,991,0
192.168.1.104,3232235880,53,17,1032,0
192.168.1.248,3232236024,53,17,279,0
192.168.1.181,3232235957,80,6,1400,0
192.168.1.156,3232235932,22,6,675,0
192.168.1.160,3232235936,80,6,183,0
10.10.10.215,168430295,3389,6,804,1
192.168.1.1,3232235777,443,6,940,0
192.168.1.196,3232235972,80,6,985,0
192.168.1.12,3232235788,53,17,386,0
192.168.1.6,3232235782,22,6,1158,0
192.168.1.235,3232236011,22,6,1129,0
192.168.1.176,3232235952,80,6,426,0
192.168.1.34,3232235810,80,6,1117,0
192.168.1.111,3232235887,53,17,447,0
192.168.1.140,3232235916,80,6,220,0
192.168.1.155,3232235931,53,17,60,0
192.168.1.18,3232235794,22,6,1179,0
192.168.1.29,3232235805,443,6,1392,0
192.168.1.109,3232235885,443,6,185,0
192.168.1.182,3232235958,443,6,1229,0
192.168.1.41,3232235817,22,6,489,0
192.168.1.206,3232235982,80,6,79,0
192.168.1.51,3232235827,22,6,753,0
192.168.1.146,3232235922,22,6,1393,0
192.168.1.72,3232235848,443,6,1425,0
192.168.1.134,3232235910,443,6,484,0
192.168.1.179,3232235955,443,6,200,0
192.168.1.169,3232235945,22,6,238,0
192.168.1.141,3232235917,53,17,754,0
10.10.10.153,168430233,5900,6,598,1
192.168.1.209,3232235985,53,17,820,0
192.168.1.43,3232235819,443,6,193,0
192.168.1.212,3232235988,80,6,726,0
192.168.1.147,3232235923,443,6,300,0
192.168.1.230,3232236006,80,6,274,0
10.10.10.41,168430121,5900,6,512,1
192.168.1.212,3232235988,443,6,853,0
192.168.1.138,3232235914,443,6,543,0
192.168.1.135,3232235911,80,6,680,0
192.168.1.135,3232235911,53,17,384,0
192.168.1.99,3232235875,53,17,1003,0
192.168.1.176,3232235952,80,6,947,0
10.10.10.233,168430313,22,6,819,1
192.168.1.222,3232235998,443,6,605,0
192.168.1.41,3232235817,80,6,1345,0
192.168.1.133,3232235909,443,6,647,0
192.168.1.170,3232235946,80,6,322,0
192.168.1.224,3232236000,22,6,1095,0
192.168.1.90,3232235866,53,17,669,0
192.168.1.21,3232235797,22,6,643,0
192.168.1.161,3232235937,53,17,1207,0
10.10.10.159,168430239,23,6,576,1
192.168.1.199,3232235975,53,17,1452,0
192.168.1.65,3232235841,443,6,276,0
192.168.1.94,3232235870,22,6,274,0
192.168.1.199,3232235975,80,6,987,0
192.168.1.210,3232235986,53,17,237,0
192.168.1.200,3232235976,443,6,501,0
192.168.1.88,3232235864,22,6,162,0
192.168.1.115,3232235891,53,17,997,0
192.168.1.81,3232235857,53,17,614,0
192.168.1.156,3232235932,443,6,911,0
10.10.10.139,168430219,5900,6,764,1
192.168.1.107,3232235883,22,6,246,0
192.168.1.155,3232235931,22,6,1341,0
10.10.10.242,168430322,23,6,695,1
192.168.1.96,3232235872,53,17,286,0
192.168.1.196,3232235972,443,6,1310,0
192.168.1.63,3232235839,22,6,1161,0
192.168.1.220,3232235996,80,6,591,0
192.168.1.22,3232235798,443,6,1370,0
192.168.1.199,3232235975,22,6,1325,0
192.168.1.227,3232236003,53,17,1136,0
192.168.1.103,3232235879,443,6,1250,0
192.168.1.253,3232236029,443,6,1409,0
192.168.1.160,3232235936,53,17,1118,0
10.10.10.12,168430092,5900,6,1406,1
192.168.1.125,3232235901,22,6,159,0
10.10.10.55,168430135,23,6,485,1
192.168.1.222,3232235998,22,6,432,0
192.168.1.131,3232235907,22,6,790,0
192.168.1.157,3232235933,22,6,442,0
10.10.10.149,168430229,3389,6,158,1
192.168.1.108,3232235884,22,6,166,0
192.168.1.36,3232235812,53,17,918,0
192.168.1.168,3232235944,22,6,291,0
10.10.10.47,168430127,5900,6,1400,1
192.168.1.84,3232235860,53,17,227,0
192.168.1.192,3232235968,22,6,520,0
192.168.1.143,3232235919,22,6,754,0
10.10.10.211,168430291,22,6,441,1
192.168.1.116,3232235892,443,6,896,0
192.168.1.40,3232235816,443,6,705,0
192.168.1.108,3232235884,443,6,301,0
192.168.1.56,3232235832,443,6,478,0
192.168.1.149,3232235925,443,6,344,0
192.168.1.248,3232236024,80,6,473,0
192.168.1.199,3232235975,53,17,1383,0
192.168.1.247,3232236023,22,6,659,0
192.168.1.143,3232235919,80,6,511,0
10.10.10.241,168430321,3389,6,1115,1
192.168.1.121,3232235897,80,6,617,0
192.168.1.111,3232235887,443,6,214,0
192.168.1.252,3232236028,22,6,1406,0
192.168.1.138,3232235914,443,6,1273,0
192.168.1.230,3232236006,80,6,1286,0
10.10.10.182,168430262,23,6,987,1
192.168.1.47,3232235823,80,6,231,0
10.10.10.50,168430130,22,6,143,1
192.168.1.167,3232235943,443,6,653,0
192.168.1.30,3232235806,80,6,558,0
192.168.1.103,3232235879,53,17,264,0
192.168.1.159,3232235935,443,6,1113,0
192.168.1.61,3232235837,443,6,691,0
10.10.10.166,168430246,5900,6,1328,1
10.10.10.249,168430329,22,6,730,1
192.168.1.218,3232235994,22,6,42,0
192.168.1.92,3232235868,53,17,390,0
192.168.1.190,3232235966,80,6,862,0
10.10.10.71,168430151,23,6,362,1
192.168.1.206,3232235982,80,6,569,0
192.168.1.219,3232235995,53,17,1141,0
192.168.1.145,3232235921,80,6,175,0
192.168.1.235,3232236011,443,6,1440,0
10.10.10.191,168430271,5900,6,862,1
192.168.1.174,3232235950,53,17,572,0
192.168.1.166,3232235942,53,17,155,0
192.168.1.5,3232235781,53,17,648,0
10.10.10.213,168430293,22,6,925,1
192.168.1.68,3232235844,22,6,1269,0
10.10.10.197,168430277,3389,6,864,1
192.168.1.190,3232235966,80,6,300,0
192.168.1.61,3232235837,80,6,414,0
192.168.1.172,3232235948,22,6,1275,0
192.168.1.121,3232235897,443,6,187,0
192.168.1.162,3232235938,53,17,1149,0
192.168.1.206,3232235982,80,6,1474,0
10.10.10.22,168430102,5900,6,1046,1
192.168.1.7,3232235783,53,17,945,0
10.10.10.73,168430153,3389,6,426,1
192.168.1.94,3232235870,22,6,746,0
192.168.1.222,3232235998,443,6,372,0
10.10.10.121,168430201,3389,6,399,1
10.10.10.235,168430315,3389,6,914,1
192.168.1.114,3232235890,22,6,199,0
192.168.1.220,3232235996,80,6,819,0
192.168.1.157,3232235933,80,6,576,0
192.168.1.186,3232235962,80,6,1355,0
192.168.1.64,3232235840,443,6,1226,0
10.10.10.105,168430185,5900,6,831,1
10.10.10.112,168430192,3389,6,565,1
192.168.1.158,3232235934,443,6,1477,0
10.10.10.228,168430308,22,6,509,1
192.168.1.14,3232235790,53,17,260,0
192.168.1.126,3232235902,22,6,1271,0
10.10.10.224,168430304,3389,6,764,1
192.168.1.207,3232235983,53,17,1489,0
192.168.1.56,3232235832,22,6,939,0
192.168.1.76,3232235852,22,6,612,0
192.168.1.221,3232235997,80,6,145,0
192.168.1.11,3232235787,22,6,423,0
192.168.1.33,3232235809,443,6,1272,0
192.168.1.86,3232235862,443,6,866,0
10.10.10.136,168430216,3389,6,215,1
192.168.1.126,3232235902,80,6,413,0
10.10.10.70,168430150,5900,6,474,1
10.10.10.159,168430239,22,6,147,1
192.168.1.134,3232235910,53,17,328,0
192.168.1.227,3232236003,443,6,1395,0
192.168.1.6,3232235782,80,6,641,0
192.168.1.213,3232235989,443,6,531,0
192.168.1.198,3232235974,443,6,1411,0
192.168.1.24,3232235800,443,6,699,0
192.168.1.95,3232235871,443,6,1380,0
10.10.10.3,168430083,22,6,1055,1
192.168.1.215,3232235991,443,6,588,0
10.10.10.205,168430285,3389,6,127,1
192.168.1.204,3232235980,53,17,99,0
192.168.1.1,3232235777,53,17,588,0
192.168.1.151,3232235927,80,6,249,0
192.168.1.180,3232235956,53,17,655,0
192.168.1.157,3232235933,443,6,226,0
192.168.1.146,3232235922,53,17,315,0
10.10.10.81,168430161,3389,6,1128,1
10.10.10.172,168430252,22,6,388,1
192.168.1.111,3232235887,22,6,1495,0
192.168.1.99,3232235875,443,6,576,0
192.168.1.158,3232235934,443,6,787,0
192.168.1.53,3232235829,443,6,379,0
192.168.1.91,3232235867,80,6,1097,0
10.10.10.235,168430315,23,6,1099,1
192.168.1.26,3232235802,443,6,360,0
192.168.1.159,3232235935,22,6,629,0
192.168.1.105,3232235881,443,6,362,0
192.168.1.194,3232235970,443,6,232,0
192.168.1.141,3232235917,80,6,1135,0
192.168.1.224,3232236000,22,6,443,0
10.10.10.121,168430201,22,6,254,1
192.168.1.127,3232235903,53,17,1284,0
192.168.1.146,3232235922,53,17,1235,0
192.168.1.88,3232235864,53,17,1385,0
192.168.1.161,3232235937,53,17,446,0
192.168.1.216,3232235992,443,6,309,0
192.168.1.105,3232235881,80,6,1260,0
192.168.1.248,3232236024,53,17,696,0
192.168.1.160,3232235936,53,17,1117,0
192.168.1.245,3232236021,443,6,825,0
10.10.10.191,168430271,5900,6,196,1
192.168.1.46,3232235822,80,6,253,0
192.168.1.82,3232235858,80,6,479,0
192.168.1.248,3232236024,22,6,832,0
192.168.1.123,3232235899,80,6,586,0
192.168.1.172,3232235948,443,6,1473,0
192.168.1.236,3232236012,443,6,664,0
10.10.10.5,168430085,5900,6,967,1
192.168.1.143,3232235919,443,6,1243,0
192.168.1.214,3232235990,22,6,436,0
10.10.10.194,168430274,5900,6,919,1
10.10.10.182,168430262,23,6,229,1
192.168.1.199,3232235975,80,6,1236,0
10.10.10.122,168430202,3389,6,806,1
192.168.1.247,3232236023,22,6,603,0
192.168.1.116,3232235892,443,6,443,0
192.168.1.73,3232235849,80,6,262,0
192.168.1.166,3232235942,53,17,427,0
192.168.1.60,3232235836,22,6,1055,0
192.168.1.39,3232235815,22,6,1370,0
10.10.10.63,168430143,22,6,1325,1
192.168.1.91,3232235867,22,6,617,0
192.168.1.92,3232235868,22,6,1137,0
192.168.1.252,3232236028,80,6,643,0
192.168.1.84,3232235860,80,6,1174,0
192.168.1.236,3232236012,53,17,423,0
10.10.10.135,168430215,22,6,591,1
192.168.1.181,3232235957,53,17,176,0
192.168.1.183,3232235959,80,6,527,0
192.168.1.230,3232236006,80,6,255,0
